ticker,name,category,score,price,year_high,year_low,ma50,ma200,off_high_pct,above_low_pct,chg_5d,chg_1m,chg_3m,chg_6m,chg_1y,vol_ratio,as_of,sector,industry,exchange
KARO,Karooooo Ltd. Ordinary Shares,A_VCP待突破,73.7,63.96,65.91,42.42,58.08,50.17,3.0,50.8,2.7,4.5,38.9,38.0,33.9,0.65,2026-08-21,Technology,Computer Software: Prepackaged Software,nasdaq
FBP,First BanCorp. New Common Stock,A_VCP待突破,73.6,28.52,29.7,19.65,27.54,23.31,4.0,45.1,-4.0,-1.1,22.5,26.4,33.9,0.73,2026-08-21,Finance,Major Banks,nyse
PARR,Par Pacific Holdings Inc.  Common Stock,A_VCP待突破,73.6,79.03,86.03,27.23,69.11,54.07,8.1,190.2,-1.6,1.8,35.6,83.7,163.6,0.94,2026-08-21,Energy,Oil & Gas Production,nyse
CSX,CSX Corporation Common Stock,A_VCP待突破,73.5,51.59,53.23,32.19,49.39,42.28,3.1,60.3,2.9,-2.3,13.0,25.7,43.3,0.74,2026-08-21,Industrials,Railroads,nasdaq
KFRC,Kforce Inc. Common Stock,A_VCP待突破,73.5,58.39,60.45,25.72,54.34,38.39,3.4,127.0,0.5,3.0,47.9,107.3,82.5,1.04,2026-08-21,Consumer Discretionary,Professional Services,nyse
CNQ,Canadian Natural Resources Limited Commo,B_上升結構,73.5,51.4,51.4,29.77,44.34,41.35,0.0,72.7,7.2,9.3,7.1,26.6,72.7,0.71,2026-08-21,Energy,Oil & Gas Production,nyse
NWBI,Northwest Bancshares Inc. Common Stock,A_VCP待突破,73.4,15.42,16.01,11.47,15.29,13.44,3.7,34.4,-2.1,0.9,15.1,18.3,28.9,0.62,2026-08-21,Finance,Major Banks,nasdaq
IBKR,Interactive Brokers Group Inc. Class A C,A_VCP待突破,73.1,93.87,97.41,62.21,91.8,77.59,3.6,50.9,2.0,2.3,7.9,28.1,47.5,0.81,2026-08-21,Finance,Investment Bankers/Brokers/Service,nasdaq
HG,Hamilton Insurance Group Ltd. Class B Co,A_VCP待突破,73.0,34.96,37.28,21.38,34.39,30.31,6.2,63.5,-2.2,0.2,9.8,11.3,51.9,0.72,2026-08-21,Finance,Property-Casualty Insurers,nyse
AMAL,Amalgamated Financial Corp. Common Stock,A_VCP待突破,72.9,48.76,51.08,26.55,47.59,39.65,4.5,83.7,-4.5,0.2,22.9,18.9,68.8,0.94,2026-08-21,Finance,Major Banks,nasdaq
MEOH,Methanex Corporation Common Stock,A_VCP待突破,72.9,60.1,64.25,32.46,53.19,50.79,6.5,85.2,7.1,3.6,-5.2,25.7,76.9,0.71,2026-08-21,Industrials,Major Chemicals,nasdaq
